ソートキー,日付,YouTube形式,詳細区分,特徴タグ,コラボ,掲載ch,配信タイトル,URL,動画ID,曲順,歌唱ID,曲名,曲名よみ,アーティスト名,検索用アーティスト名,検索用アーティスト名よみ,関連元,開始時間,曲リンク,備考
20260523-2-001,2026/05/23,Live Stream,初配信,,,,【初配信】絶対自己紹介するぞ！！！！！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=FFtrxdCFcfk,FFtrxdCFcfk,1,FFtrxdCFcfk-01,だってアタシのヒーロー。,,LiSA,,,,0:21:28,この曲を聴く,
20260523-3-000,2026/05/23,Video,歌ってみた,,,,【歌ってみた】ウタカタララバイ【covered by 汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=QItoWa5sdnc,QItoWa5sdnc,0,QItoWa5sdnc-00,ウタカタララバイ,,Ado,,,,0,この曲を聴く,
20260524-1-000,2026/05/24,Shorts,歌みた切り抜き,,,,ウタカタララバイcover【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/b6qUs1N9CPM,b6qUs1N9CPM,0,b6qUs1N9CPM-00,ウタカタララバイ,,Ado,,,QItoWa5sdnc-00,0,この曲を聴く,
20260524-1-000,2026/05/24,Shorts,コラボショート,,RIΣM(アズリ/緑青くれは/ここ・じぇす汰/漆瀬レイ),ななしいんく公式チャンネル,『ワールドイズマイン CPK! Remix』新人5人で歌ってみた🎤アズリ＆緑青くれは＆ここ・じぇす汰＆汐鳴みりね＆漆瀬レイ #shorts #RIΣM,https://www.youtube.com/shorts/o_Wzanqstgk,o_Wzanqstgk,0,o_Wzanqstgk-00,ワールドイズマイン CPK! Remix (かぐや&月見ヤチヨ ver.) from 超かぐや姫！,,ryo (supercell),ryo (supercell) / かぐや / 夏吉ゆうこ / 月見ヤチヨ / 早見沙織,ryo (supercell) / かぐや / なつよしゆうこ / るなみやちよ / はやみさおり,,0,この曲を聴く,
20260525-1-000,2026/05/25,Shorts,新作ショート,,,,『セレナーデ』歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/KcRLqkeQuNI,KcRLqkeQuNI,0,KcRLqkeQuNI-00,セレナーデ,,なとり,,,,0,この曲を聴く,
20260525-2-001,2026/05/25,Live Stream,歌枠,,,,【初！歌枠】歌うぞ！！！！！！！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=D41ErKux1Ps,D41ErKux1Ps,1,D41ErKux1Ps-01,晴る,はる,ヨルシカ,,,,0:08:20,この曲を聴く,
20260525-2-002,2026/05/25,Live Stream,歌枠,,,,【初！歌枠】歌うぞ！！！！！！！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=D41ErKux1Ps,D41ErKux1Ps,2,D41ErKux1Ps-02,名前のない怪物,なまえのないかいぶつ,EGOIST,,,,0:18:17,この曲を聴く,
20260525-2-003,2026/05/25,Live Stream,歌枠,,,,【初！歌枠】歌うぞ！！！！！！！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=D41ErKux1Ps,D41ErKux1Ps,3,D41ErKux1Ps-03,恋愛裁判,れんあいさいばん,40mP feat. 初音ミク,40mP / 初音ミク,40mP / はつねみく,,0:33:30,この曲を聴く,音ズレあり次回リベンジ
20260525-2-004,2026/05/25,Live Stream,歌枠,,,,【初！歌枠】歌うぞ！！！！！！！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=D41ErKux1Ps,D41ErKux1Ps,4,D41ErKux1Ps-04,IRIS OUT,,米津玄師,,よねづけんし,,0:43:28,この曲を聴く,
20260525-2-005,2026/05/25,Live Stream,歌枠,,,,【初！歌枠】歌うぞ！！！！！！！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=D41ErKux1Ps,D41ErKux1Ps,5,D41ErKux1Ps-05,革命道中,かくめいどうちゅう,アイナ・ジ・エンド,,,,0:50:50,この曲を聴く,
