ソートキー,日付,YouTube形式,詳細区分,特徴タグ,コラボ,掲載ch,配信タイトル,URL,動画ID,曲順,歌唱ID,曲名,曲名よみ,アーティスト名,検索用アーティスト名,検索用アーティスト名よみ,関連元,開始時間,曲リンク,備考
20260607-2-006,2026/06/07,Live Stream,歌枠(コラボ),,うみつじ(漆瀬レイ),漆瀬レイ / Ray Nanase【ななしいんく】,【歌枠】 #うみつじ で初の歌コラボ！2人の最強な歌を聴け🎤✨【汐鳴みりね / 漆瀬レイ / ななしいんく】,https://www.youtube.com/watch?v=5hyYMHP0EQQ,5hyYMHP0EQQ,6,5hyYMHP0EQQ-06,たばこ,,コレサワ,,,,1:14:03,この曲を聴く,
20260607-2-007,2026/06/07,Live Stream,歌枠(コラボ),,うみつじ(漆瀬レイ),漆瀬レイ / Ray Nanase【ななしいんく】,【歌枠】 #うみつじ で初の歌コラボ！2人の最強な歌を聴け🎤✨【汐鳴みりね / 漆瀬レイ / ななしいんく】,https://www.youtube.com/watch?v=5hyYMHP0EQQ,5hyYMHP0EQQ,7,5hyYMHP0EQQ-07,magnet,,minato(流星P) feat.初音ミク、巡音ルカ,minato(流星P) / 初音ミク / 巡音ルカ,minato(流星P) / はつねみく / めぐりねるか,,1:38:24,この曲を聴く,
20260607-2-008,2026/06/07,Live Stream,歌枠(コラボ),,うみつじ(漆瀬レイ),漆瀬レイ / Ray Nanase【ななしいんく】,【歌枠】 #うみつじ で初の歌コラボ！2人の最強な歌を聴け🎤✨【汐鳴みりね / 漆瀬レイ / ななしいんく】,https://www.youtube.com/watch?v=5hyYMHP0EQQ,5hyYMHP0EQQ,8,5hyYMHP0EQQ-08,ライオン,,May'n(シェリル・ノーム)／中島愛(ランカ・リー),May'n / シェリル・ノーム / 中島愛 / ランカ・リー,May'n / シェリル・ノーム / なかじまあい / ランカ・リー,,1:48:54,この曲を聴く,
20260608-1-000,2026/06/08,Shorts,新作ショート,,,,『mosi mosi?』歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/EteSmPojMgU,EteSmPojMgU,0,EteSmPojMgU-00,mosi mosi?,,楽音(sasane),,ささね,,0,この曲を聴く,
20260609-1-000,2026/06/09,Shorts,歌みた切り抜き,,,,TAIDADA cover【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/KHOP_gFk-B8,KHOP_gFk-B8,0,KHOP_gFk-B8-00,TAIDADA,,ずっと真夜中でいいのに。,,,3RsbwwRMg8g-00,0,この曲を聴く,
20260610-1-000,2026/06/10,Shorts,アカペラ版,アカペラ,,,【アカペラ】mosi mosi? 歌ってみた📞【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/6hZgKtj6dpU,6hZgKtj6dpU,0,6hZgKtj6dpU-00,mosi mosi?,,楽音(sasane),,ささね,EteSmPojMgU-00,0,この曲を聴く,
20260610-2-001,2026/06/10,Live Stream,歌枠,,,,【収益化記念】みんなに心からのありがとうを歌で届けます！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4eITjhNaZ0g,4eITjhNaZ0g,1,4eITjhNaZ0g-01,怪獣の花唄,かいじゅうのはなうた,Vaundy,,,,0:02:20,この曲を聴く,
20260610-2-002,2026/06/10,Live Stream,歌枠,,,,【収益化記念】みんなに心からのありがとうを歌で届けます！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4eITjhNaZ0g,4eITjhNaZ0g,2,4eITjhNaZ0g-02,TAIDADA,,ずっと真夜中でいいのに。,,,,0:15:24,この曲を聴く,
20260610-2-003,2026/06/10,Live Stream,歌枠,,,,【収益化記念】みんなに心からのありがとうを歌で届けます！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4eITjhNaZ0g,4eITjhNaZ0g,3,4eITjhNaZ0g-03,God knows...,,涼宮ハルヒ(平野綾),涼宮ハルヒ / 平野綾,すずみやはるひ / ひらのあや,,0:22:30,この曲を聴く,
20260610-2-004,2026/06/10,Live Stream,歌枠,,,,【収益化記念】みんなに心からのありがとうを歌で届けます！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4eITjhNaZ0g,4eITjhNaZ0g,4,4eITjhNaZ0g-04,革命道中,かくめいどうちゅう,アイナ・ジ・エンド,,,,0:50:15,この曲を聴く,
20260610-2-005,2026/06/10,Live Stream,歌枠,,,,【収益化記念】みんなに心からのありがとうを歌で届けます！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4eITjhNaZ0g,4eITjhNaZ0g,5,4eITjhNaZ0g-05,妄想税,もうそうぜい,DECO*27 feat. 初音ミク,DECO*27 / 初音ミク,DECO*27 / はつねみく,,1:06:55,この曲を聴く,
20260610-2-006,2026/06/10,Live Stream,歌枠,,,,【収益化記念】みんなに心からのありがとうを歌で届けます！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4eITjhNaZ0g,4eITjhNaZ0g,6,4eITjhNaZ0g-06,ミックスナッツ,,Official髭男dism,,,,1:13:30,この曲を聴く,
20260610-2-007,2026/06/10,Live Stream,歌枠,,,,【収益化記念】みんなに心からのありがとうを歌で届けます！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4eITjhNaZ0g,4eITjhNaZ0g,7,4eITjhNaZ0g-07,again,,YUI,,,,1:32:14,この曲を聴く,
20260610-2-008,2026/06/10,Live Stream,歌枠,,,,【収益化記念】みんなに心からのありがとうを歌で届けます！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4eITjhNaZ0g,4eITjhNaZ0g,8,4eITjhNaZ0g-08,JANE DOE,,"米津玄師, 宇多田ヒカル",米津玄師 /  宇多田ヒカル,よねづけんし / うただひかる,,1:41:34,この曲を聴く,
20260612-1-000,2026/06/12,Shorts,新作ショート,,,,『テレキャスタービーボーイ』歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/rLNQGx7ySo0,rLNQGx7ySo0,0,rLNQGx7ySo0-00,テレキャスタービーボーイ,,すりぃ feat. 鏡音レン,すりぃ / 鏡音レン,すりぃ / かがみねりん,,0,この曲を聴く,
20260615-1-000,2026/06/15,Shorts,新作ショート,,,,『あぶく』歌ってみた。【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/RKMicJdjThs,RKMicJdjThs,0,RKMicJdjThs-00,あぶく,,ヨルシカ,,,,0,この曲を聴く,
20260617-1-000,2026/06/17,Shorts,アカペラ版,アカペラ,,,【アカペラ】あぶく 歌ってみた。【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/WUJrp7pmUjo,WUJrp7pmUjo,0,WUJrp7pmUjo-00,あぶく,,ヨルシカ,,,RKMicJdjThs-00,0,この曲を聴く,
20260617-2-001,2026/06/17,Live Stream,歌枠,,,,【歌枠】今週も歌っていきますわよ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4auKlElOPB0,4auKlElOPB0,1,4auKlElOPB0-01,好きすぎて滅！,すきすぎてめつ,M!LK,,,,0:19:27,この曲を聴く,
20260617-2-002,2026/06/17,Live Stream,歌枠,,,,【歌枠】今週も歌っていきますわよ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4auKlElOPB0,4auKlElOPB0,2,4auKlElOPB0-02,ダーリン,,須田景凪,,すだけいな,,0:27:50,この曲を聴く,
20260617-2-003,2026/06/17,Live Stream,歌枠,,,,【歌枠】今週も歌っていきますわよ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4auKlElOPB0,4auKlElOPB0,3,4auKlElOPB0-03,ブルーバード,,いきものがかり,,,,0:42:20,この曲を聴く,
20260617-2-004,2026/06/17,Live Stream,歌枠,,,,【歌枠】今週も歌っていきますわよ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4auKlElOPB0,4auKlElOPB0,4,4auKlElOPB0-04,月のワルツ,つきのわるつ,諫山実生,,いさやまみお,,0:50:24,この曲を聴く,
20260617-2-005,2026/06/17,Live Stream,歌枠,,,,【歌枠】今週も歌っていきますわよ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4auKlElOPB0,4auKlElOPB0,5,4auKlElOPB0-05,プラネタリウム,,大塚愛,,おおつかあい,,0:57:28,この曲を聴く,
20260617-2-101,2026/06/17,Live Stream,歌枠,アカペラ / セトリ外,,,【歌枠】今週も歌っていきますわよ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4auKlElOPB0,4auKlElOPB0,101,4auKlElOPB0-101,Song for...,,HY,,,,1:05:48,この曲を聴く,2番サビのみアカペラ
20260617-2-006,2026/06/17,Live Stream,歌枠,,,,【歌枠】今週も歌っていきますわよ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4auKlElOPB0,4auKlElOPB0,6,4auKlElOPB0-06,シャルル,,須田景凪,,すだけいな,,1:09:50,この曲を聴く,
20260617-2-007,2026/06/17,Live Stream,歌枠,,,,【歌枠】今週も歌っていきますわよ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4auKlElOPB0,4auKlElOPB0,7,4auKlElOPB0-07,LOSER,,米津玄師,,よねづけんし,,1:26:37,この曲を聴く,
20260617-2-008,2026/06/17,Live Stream,歌枠,,,,【歌枠】今週も歌っていきますわよ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=4auKlElOPB0,4auKlElOPB0,8,4auKlElOPB0-08,ただ君に晴れ,ただきみにはれ,ヨルシカ,,,,1:41:56,この曲を聴く,
20260619-1-000,2026/06/19,Shorts,新作ショート,,,,『Puppet』歌ってみた！ﾆｬｱ【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/HtsUmLOGRE0,HtsUmLOGRE0,0,HtsUmLOGRE0-00,Puppet,,なとり,,,,0,この曲を聴く,
20260622-1-000,2026/06/22,Shorts,アカペラ版,アカペラ,,,【アカペラ】ロミオとシンデレラ歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/GfAS8kdRyu4,GfAS8kdRyu4,0,GfAS8kdRyu4-00,ロミオとシンデレラ,,doriko feat. 初音ミク,doriko / 初音ミク,doriko / はつねみく,ulAI2MaZTZQ-00,0,この曲を聴く,
20260624-1-000,2026/06/24,Shorts,新作ショート,,,,『DISCOTHEQUE』歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/A_GxcVuKJqE,A_GxcVuKJqE,0,A_GxcVuKJqE-00,DISCOTHEQUE,,水樹奈々,,みずきなな,,0,この曲を聴く,
20260624-2-001,2026/06/24,Live Stream,歌枠,,,,【歌枠】今週も定期歌枠ザマス【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f_R4WarFw-M,f_R4WarFw-M,1,f_R4WarFw-M-01,ライラック,,Mrs. GREEN APPLE,,,,0:10:00,この曲を聴く,
20260624-2-002,2026/06/24,Live Stream,歌枠,,,,【歌枠】今週も定期歌枠ザマス【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f_R4WarFw-M,f_R4WarFw-M,2,f_R4WarFw-M-02,クスシキ,,Mrs. GREEN APPLE,,,,0:19:17,この曲を聴く,
20260624-2-003,2026/06/24,Live Stream,歌枠,,,,【歌枠】今週も定期歌枠ザマス【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f_R4WarFw-M,f_R4WarFw-M,3,f_R4WarFw-M-03,残酷な天使のテーゼ,ざんこくなてんしのてーぜ,高橋洋子,,たかはしようこ,,0:29:20,この曲を聴く,
20260624-2-004,2026/06/24,Live Stream,歌枠,,,,【歌枠】今週も定期歌枠ザマス【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f_R4WarFw-M,f_R4WarFw-M,4,f_R4WarFw-M-04,プロローグ,,Uru,,,,0:40:20,この曲を聴く,
20260624-2-005,2026/06/24,Live Stream,歌枠,,,,【歌枠】今週も定期歌枠ザマス【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f_R4WarFw-M,f_R4WarFw-M,5,f_R4WarFw-M-05,からくりピエロ,,40mP feat. 初音ミク,40mP / 初音ミク,40mP / はつねみく,,0:49:27,この曲を聴く,
20260624-2-006,2026/06/24,Live Stream,歌枠,,,,【歌枠】今週も定期歌枠ザマス【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f_R4WarFw-M,f_R4WarFw-M,6,f_R4WarFw-M-06,三日月,みかづき,絢香,,あやか,,1:10:20,この曲を聴く,
20260624-2-101,2026/06/24,Live Stream,歌枠,アカペラ / セトリ外,,,【歌枠】今週も定期歌枠ザマス【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f_R4WarFw-M,f_R4WarFw-M,101,f_R4WarFw-M-101,ミカヅキ,,さユり,,,,1:17:10,この曲を聴く,一部アカペラ
20260624-2-007,2026/06/24,Live Stream,歌枠,,,,【歌枠】今週も定期歌枠ザマス【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f_R4WarFw-M,f_R4WarFw-M,7,f_R4WarFw-M-07,マリーゴールド,,あいみょん,,,,1:20:17,この曲を聴く,
20260626-1-000,2026/06/26,Shorts,アカペラ版,アカペラ,,,【アカペラ】Puppet歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/bcdPCLvFMHI,bcdPCLvFMHI,0,bcdPCLvFMHI-00,Puppet,,なとり,,,HtsUmLOGRE0-00,0,この曲を聴く,
20260627-3-000,2026/06/27,Video,歌ってみた,,,,【歌ってみた】とても素敵な六月でした【covered by 汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=H866On8r53I,H866On8r53I,0,H866On8r53I-00,とても素敵な六月でした,,Eight,,,,0,この曲を聴く,
20260627-2-001,2026/06/27,Live Stream,歌枠,,,,【RIΣM歌枠リレー 】初めての歌枠リレー。ぶちかまします🔥【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f8CBGGDALIA,f8CBGGDALIA,1,f8CBGGDALIA-01,unravel,,TK from 凛として時雨,,,,0:01:18,この曲を聴く,
20260627-2-002,2026/06/27,Live Stream,歌枠,,,,【RIΣM歌枠リレー 】初めての歌枠リレー。ぶちかまします🔥【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f8CBGGDALIA,f8CBGGDALIA,2,f8CBGGDALIA-02,ビビデバ,,星街すいせい,,ほしまちすいせい,,0:08:58,この曲を聴く,
20260627-2-003,2026/06/27,Live Stream,歌枠,,,,【RIΣM歌枠リレー 】初めての歌枠リレー。ぶちかまします🔥【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f8CBGGDALIA,f8CBGGDALIA,3,f8CBGGDALIA-03,一度だけの恋なら,いちどだけのこいなら,ワルキューレ,,,,0:12:12,この曲を聴く,
20260627-2-004,2026/06/27,Live Stream,歌枠,,,,【RIΣM歌枠リレー 】初めての歌枠リレー。ぶちかまします🔥【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f8CBGGDALIA,f8CBGGDALIA,4,f8CBGGDALIA-04,366日,,HY,,,,0:18:21,この曲を聴く,
20260627-2-005,2026/06/27,Live Stream,歌枠,,,,【RIΣM歌枠リレー 】初めての歌枠リレー。ぶちかまします🔥【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=f8CBGGDALIA,f8CBGGDALIA,5,f8CBGGDALIA-05,SAD SONG,,ちゃんみな,,,,0:25:40,この曲を聴く,
20260629-1-000,2026/06/29,Shorts,新作ショート,,,,『一二三』歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/GQXRtTzaRkY,GQXRtTzaRkY,0,GQXRtTzaRkY-00,一二三,いちにさん,Penthouse,,,,0,この曲を聴く,
20260701-1-000,2026/07/01,Shorts,歌みた切り抜き,,,,【フル公開中】『とても素敵な六月でした』歌ってみた【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/CzIvqDkxdEQ,CzIvqDkxdEQ,0,CzIvqDkxdEQ-00,とても素敵な六月でした,とてもすてきなろくがつでした,Eight,,,H866On8r53I-00,0,この曲を聴く,
20260701-2-001,2026/07/01,Live Stream,歌枠,,,,【歌枠】週１の歌枠タイムだよん！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=ekJ8xb2NGwg,ekJ8xb2NGwg,1,ekJ8xb2NGwg-01,とても素敵な六月でした,とてもすてきなろくがつでした,Eight,,,,0:02:08,この曲を聴く,
20260701-2-002,2026/07/01,Live Stream,歌枠,,,,【歌枠】週１の歌枠タイムだよん！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=ekJ8xb2NGwg,ekJ8xb2NGwg,2,ekJ8xb2NGwg-02,晴る,はる,ヨルシカ,,,,0:17:15,この曲を聴く,
20260701-2-003,2026/07/01,Live Stream,歌枠,,,,【歌枠】週１の歌枠タイムだよん！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=ekJ8xb2NGwg,ekJ8xb2NGwg,3,ekJ8xb2NGwg-03,チャンカバーナ,,NEWS,,,,0:28:53,この曲を聴く,
20260701-2-004,2026/07/01,Live Stream,歌枠,,,,【歌枠】週１の歌枠タイムだよん！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=ekJ8xb2NGwg,ekJ8xb2NGwg,4,ekJ8xb2NGwg-04,花火,はなび,aiko,,,,0:47:12,この曲を聴く,
20260701-2-005,2026/07/01,Live Stream,歌枠,,,,【歌枠】週１の歌枠タイムだよん！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=ekJ8xb2NGwg,ekJ8xb2NGwg,5,ekJ8xb2NGwg-05,怪獣の花唄,かいじゅうのはなうた,Vaundy,,,,0:58:55,この曲を聴く,
20260701-2-006,2026/07/01,Live Stream,歌枠,,,,【歌枠】週１の歌枠タイムだよん！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=ekJ8xb2NGwg,ekJ8xb2NGwg,6,ekJ8xb2NGwg-06,鬼の宴,おにのうたげ,友成空,,ともなりそら,,1:05:43,この曲を聴く,
20260701-2-007,2026/07/01,Live Stream,歌枠,,,,【歌枠】週１の歌枠タイムだよん！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=ekJ8xb2NGwg,ekJ8xb2NGwg,7,ekJ8xb2NGwg-07,unlasting,,LiSA,,,,1:09:54,この曲を聴く,
20260703-1-000,2026/07/03,Shorts,アカペラ版,アカペラ,,,【アカペラ】一二三歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/NcFsPLg04B4,NcFsPLg04B4,0,NcFsPLg04B4-00,一二三,いちにさん,Penthouse,,,GQXRtTzaRkY-00,0,この曲を聴く,
20260707-1-000,2026/07/07,Shorts,新作ショート,,,,『シリョクケンサ』歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/yCT7BzhAGUc,yCT7BzhAGUc,0,yCT7BzhAGUc-00,シリョクケンサ,,40mP feat.GUMI,40mP / GUMI,,,0,この曲を聴く,
20260708-1-000,2026/07/08,Shorts,アカペラ版,アカペラ,,,【アカペラ】シリョクケンサ歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/llz8v_nSnLE,llz8v_nSnLE,0,llz8v_nSnLE-00,シリョクケンサ,,40mP feat.GUMI,40mP / GUMI,,yCT7BzhAGUc-00,0,この曲を聴く,
20260708-2-001,2026/07/08,Live Stream,歌枠,,,,【歌枠】今日も歌いたい歌を歌う【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=6UmkAp6-fNs,6UmkAp6-fNs,1,6UmkAp6-fNs-01,ブルーベリー・ナイツ,,マカロニえんぴつ,,,,0:01:56,この曲を聴く,
20260708-2-002,2026/07/08,Live Stream,歌枠,,,,【歌枠】今日も歌いたい歌を歌う【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=6UmkAp6-fNs,6UmkAp6-fNs,2,6UmkAp6-fNs-02,プロポーズ,,なとり,,,,0:12:55,この曲を聴く,
20260708-2-003,2026/07/08,Live Stream,歌枠,,,,【歌枠】今日も歌いたい歌を歌う【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=6UmkAp6-fNs,6UmkAp6-fNs,3,6UmkAp6-fNs-03,Overdose,,なとり,,,,0:24:42,この曲を聴く,
20260708-2-004,2026/07/08,Live Stream,歌枠,,,,【歌枠】今日も歌いたい歌を歌う【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=6UmkAp6-fNs,6UmkAp6-fNs,4,6UmkAp6-fNs-04,盛れ！ミ・アモーレ,もれみあもーれ,Juice=Juice,,,,0:35:12,この曲を聴く,
20260708-2-005,2026/07/08,Live Stream,歌枠,,,,【歌枠】今日も歌いたい歌を歌う【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=6UmkAp6-fNs,6UmkAp6-fNs,5,6UmkAp6-fNs-05,YELL,,いきものがかり,,,,0:48:00,この曲を聴く,
20260708-2-006,2026/07/08,Live Stream,歌枠,,,,【歌枠】今日も歌いたい歌を歌う【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=6UmkAp6-fNs,6UmkAp6-fNs,6,6UmkAp6-fNs-06,ブルーバード,,いきものがかり,,,,1:06:36,この曲を聴く,
